time;Y
00:00,0;0,664653
00:00,0;0,672654
00:00,0;0,680414
00:00,0;0,687908
00:00,0;0,695111
00:00,0;0,702
00:00,0;0,708554
00:00,0;0,714751
00:00,0;0,720571
00:00,0;0,725995
00:00,0;0,731006
00:00,0;0,735588
00:00,0;0,739727
00:00,0;0,743408
00:00,0;0,74662
00:00,0;0,749353
00:00,0;0,751598
00:00,0;0,753349
00:00,0;0,754599
00:00,0;0,755345
00:00,0;0,755584
00:00,0;0,755317
00:00,0;0,754544
00:00,0;0,753268
00:00,0;0,751493
00:00,0;0,749225
00:00,0;0,746473
00:00,0;0,743244
00:00,0;0,739551
00:00,0;0,735404
00:00,0;0,730818
00:00,0;0,725809
00:00,0;0,720392
00:00,0;0,714585
00:00,0;0,708409
00:00,0;0,701882
00:00,0;0,695026
00:00,0;0,687865
00:00,0;0,680421
00:00,0;0,672719
00:00,0;0,664784
00:00,0;0,656643
00:00,0;0,648321
00:00,0;0,639848
00:00,0;0,631249
00:00,0;0,622554
00:00,0;0,613791
00:00,0;0,604989
00:00,0;0,596177
00:00,0;0,587383
00:00,0;0,578636
00:00,0;0,569966
00:00,0;0,5614
00:00,0;0,552966
00:00,0;0,544694
00:00,0;0,536608
00:00,0;0,528736
00:00,0;0,521105
00:00,0;0,513738
00:00,0;0,50666
00:00,0;0,499894
00:00,0;0,493463
00:00,0;0,487387
00:00,0;0,481687
00:00,0;0,476381
00:00,0;0,471487
00:00,0;0,46702
00:00,0;0,462996
00:00,0;0,459427
00:00,0;0,456326
00:00,0;0,453703
00:00,0;0,451566
00:00,0;0,449923
00:00,0;0,448778
00:00,0;0,448136
00:00,0;0,447999
00:00,0;0,448368
00:00,0;0,449241
00:00,0;0,450615
00:00,0;0,452487
00:00,0;0,454851
00:00,0;0,457697
00:00,0;0,461019
00:00,0;0,464804
00:00,0;0,46904
00:00,0;0,473714
00:00,0;0,478811
00:00,0;0,484314
00:00,0;0,490204
00:00,0;0,496464
00:00,0;0,503073
00:00,0;0,510008
00:00,0;0,517248
00:00,0;0,524769
00:00,0;0,532547
00:00,0;0,540556
00:00,0;0,54877
00:00,0;0,557163
00:00,0;0,565707
00:00,0;0,574374
00:00,0;0,583136
00:00,0;0,591965
00:00,0;0,600831
00:00,0;0,609707
00:00,0;0,618562
00:00,0;0,627369
00:00,0;0,636098
00:00,0;0,644721
00:00,0;0,65321
00:00,0;0,661537
00:00,0;0,669676
00:00,0;0,677599
00:00,0;0,685281
00:00,0;0,692696
00:00,0;0,699821
00:00,0;0,706633
00:00,0;0,713108
00:00,0;0,719227
00:00,0;0,724969
00:00,0;0,730315
00:00,0;0,735248
00:00,0;0,739752
00:00,0;0,743812
00:00,0;0,747414
00:00,0;0,750548
00:00,0;0,753203
00:00,0;0,75537
00:00,0;0,757042
00:00,0;0,758214
00:00,0;0,758882
00:00,0;0,759043
00:00,0;0,758697
00:00,0;0,757846
00:00,0;0,756491
00:00,0;0,754638
00:00,0;0,752292
00:00,0;0,749461
00:00,0;0,746154
00:00,0;0,742382
00:00,0;0,738157
00:00,0;0,733493
00:00,0;0,728404
00:00,0;0,722909
00:00,0;0,717024
00:00,0;0,710768
00:00,0;0,704163
00:00,0;0,697229
00:00,0;0,689989
00:00,0;0,682466
00:00,0;0,674686
00:00,0;0,666672
00:00,0;0,658452
00:00,0;0,650053
00:00,0;0,6415
00:00,0;0,632823
00:00,0;0,624049
00:00,0;0,615208
00:00,0;0,606327
00:00,0;0,597436
00:00,0;0,588563
00:00,0;0,579738
00:00,0;0,570989
00:00,0;0,562344
00:00,0;0,553832
00:00,0;0,545481
00:00,0;0,537316
00:00,0;0,529366
00:00,0;0,521656
00:00,0;0,51421
00:00,0;0,507053
00:00,0;0,500209
00:00,0;0,493699
00:00,0;0,487545
00:00,0;0,481766
00:00,0;0,476381
00:00,0;0,471408
00:00,0;0,466862
00:00,0;0,46276
00:00,0;0,459112
00:00,0;0,455933
00:00,0;0,453231
00:00,0;0,451015
00:00,0;0,449293
00:00,0;0,44807
00:00,0;0,447349
00:00,0;0,447133
00:00,0;0,447423
00:00,0;0,448218
00:00,0;0,449514
00:00,0;0,451307
00:00,0;0,453591
00:00,0;0,45636
00:00,0;0,459602
00:00,0;0,463309
00:00,0;0,467466
00:00,0;0,472062
00:00,0;0,47708
00:00,0;0,482504
00:00,0;0,488316
00:00,0;0,494497
00:00,0;0,501027
00:00,0;0,507884
00:00,0;0,515045
00:00,0;0,522488
00:00,0;0,530187
00:00,0;0,538118
00:00,0;0,546253
00:00,0;0,554567
00:00,0;0,563033
00:00,0;0,571621
00:00,0;0,580305
00:00,0;0,589055
00:00,0;0,597843
00:00,0;0,60664
00:00,0;0,615417
00:00,0;0,624145
00:00,0;0,632796
00:00,0;0,641341
00:00,0;0,649751
00:00,0;0,658
00:00,0;0,66606
00:00,0;0,673905
00:00,0;0,681509
00:00,0;0,688846
00:00,0;0,695893
00:00,0;0,702626
00:00,0;0,709023
00:00,0;0,715064
00:00,0;0,720727
00:00,0;0,725995
00:00,0;0,73085
00:00,0;0,735276
00:00,0;0,739257
00:00,0;0,742782
00:00,0;0,745838
00:00,0;0,748415
00:00,0;0,750504
00:00,0;0,752098
00:00,0;0,753191
00:00,0;0,753781
00:00,0;0,753864
00:00,0;0,753441
00:00,0;0,752511
00:00,0;0,751079
00:00,0;0,749147
00:00,0;0,746724
00:00,0;0,743815
00:00,0;0,74043
00:00,0;0,73658
00:00,0;0,732277
00:00,0;0,727535
00:00,0;0,72237
00:00,0;0,716796
00:00,0;0,710834
00:00,0;0,704501
00:00,0;0,697818
00:00,0;0,690806
00:00,0;0,683488
00:00,0;0,675888
00:00,0;0,66803
00:00,0;0,659939
00:00,0;0,651642
00:00,0;0,643165
00:00,0;0,634535
00:00,0;0,625781
00:00,0;0,61693
00:00,0;0,608011
00:00,0;0,599053
00:00,0;0,590084
00:00,0;0,581134
00:00,0;0,572232
00:00,0;0,563406
00:00,0;0,554684
00:00,0;0,546095
00:00,0;0,537666
00:00,0;0,529425
00:00,0;0,521398
00:00,0;0,513611
00:00,0;0,506088
00:00,0;0,498855
00:00,0;0,491933
00:00,0;0,485347
00:00,0;0,479116
00:00,0;0,47326
00:00,0;0,467799
00:00,0;0,462749
00:00,0;0,458127
00:00,0;0,453948
00:00,0;0,450224
00:00,0;0,446968
00:00,0;0,444189
00:00,0;0,441897
00:00,0;0,440099
00:00,0;0,438799
00:00,0;0,438002
00:00,0;0,43771
00:00,0;0,437924
00:00,0;0,438642
00:00,0;0,439862
00:00,0;0,441579
00:00,0;0,443788
00:00,0;0,44648
